CITY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bakersfield,18.0,18.0,17.0,17.0,16.0,15.0,16.0,14.0,13.0,12.0,11.0,11.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
El Centro,15.0,12.0,12.0,12.0,14.0,13.0,12.0,13.0,12.0,11.0,9.0,11.0,12.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0
Fresno,16.0,16.0,16.0,16.0,14.0,13.0,14.0,13.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,8.0
Los Angeles-Long Beach-Anaheim,29.0,28.0,27.0,26.0,23.0,22.0,22.0,22.0,21.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,12.0,12.0,13.0
Madera,13.0,11.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Merced,12.0,12.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
Modesto,16.0,17.0,17.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,7.0
Oxnard-Thousand Oaks-Ventura,17.0,15.0,13.0,13.0,12.0,13.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
Riverside-San Bernardino-Ontario,23.0,23.0,23.0,21.0,19.0,20.0,19.0,18.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0
Sacramento--Roseville--Arden-Arcade,12.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0
Salinas,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0
San Diego-Carlsbad,15.0,15.0,15.0,15.0,13.0,13.0,13.0,12.0,11.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
San Francisco-Oakland-Hayward,16.0,16.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,7.0,6.0
San Luis Obispo-Paso Robles-Arroyo Grande,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
Santa Maria-Santa Barbara,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
Stockton-Lodi,21.0,19.0,21.0,18.0,17.0,17.0,18.0,16.0,17.0,15.0,14.0,15.0,14.0,16.0,13.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0
Vallejo-Fairfield,13.0,13.0,13.0,12.0,12.0,11.0,12.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0
Visalia-Porterville,18.0,18.0,19.0,18.0,16.0,16.0,14.0,15.0,14.0,15.0,13.0,12.0,12.0,13.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,8.0
Yuba City,13.0,14.0,15.0,14.0,12.0,12.0,12.0,12.0,12.0,9.0,8.0,8.0,10.0,10.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0
